ID;Nom usuel
25532001;Saone
25635001;Lomont
26035001;Beaufort-s-gerv
26047001;Bellegarde-en-d
26050001;Besignan
26056001;Bourdeaux
26063002;Buis -Baronnies
26074001;Chapelle-en-ver
26100001;Combovin
26113003;Die
26115001;Divajeu
26116002;Donzere
26124001;Etoile
26142001;Glandage_sapc
26165001;Livron
26167001;Luc-en-diois
26168001;Lus L Croix Hte
26176001;Marsanne
26177001;Marsaz
26179001;Mercurol
26191001;Montboucher-s-j
26198001;Montelimar
26202001;Montjoux
26211001;Montsegur-s-lau
26235001;Pierrelatte
26258001;Puy-st-martin
26264002;Remuzat
26273002;Rochefort-samson_sapc
26281001;Romans_sapc
26295001;St-barthelemy-v_sapc
26298001;St-christophe-l
26307001;St-jean-en-roya
26313001;St-marcel-les-v-inra
26321003;St-nazaire-le-d
26330001;St-sorlin-en-va
26340001;Sederon
26348001;Taulignan
26361001;Valdrome
26377003;Vinsobres
27096001;Les Bottereaux
27112001;Breteuil
27127001;Canappeville
27229003;Evreux Ville
27306001;Guichainville
27347001;Evreux-huest
27367001;Lieurey
27375001;Louviers
27398001;Menneval
28041001;Blandainville
28064002;Bu_sapc
28070001;Chartres
28134003;Dreux
28190001;Guillonville_ca28
28195001;Houx
28198001;Chateaudun
28214003;La Loupe_sapc
28215001;Louville
28239001;Marville - Man
28239002;Marville_sapc
28252001;Miermaigne -Man
28252002;Miermaigne
28300001;Poinville - Man
28300002;Poinville
28305001;Pre-st-evroult
28322001;Rueil
28322003;Rueil
28363001;Sainville
28373002;Senonches
28380001;Sours - Man
28386001;Thimert
28406001;Viabon
28410001;Villampuy
29004001;Bannalec
29018001;Brennilis
29021001;Brignogan
29024003;Carhaix
29041002;Coray Chat Eau
29048003;Edern
29075001;Brest-guipavas
29082001;Batz
29083001;Sein
29113001;Lanmeur
29120001;Lanveoc
29146001;Melgven
29151001;Morlaix
29155005;Ouessant-stiff
29156001;Pencran
29163003;Pleyber-christ Sa
29170001;Plomelin-inra
29175001;Plonevez-du-faou
29178001;Ploudalmezeau
